Pares de ROIs com correlação absoluta maior que 0.5:
                          ROI_1                           ROI_2  Correlacao
        ctx-rh-inferiortemporal         ctx-rh-inferiorparietal    0.591537
      ctx-lh-posteriorcingulate     ctx-lh-lateralorbitofrontal    0.591500
    ctx-lh-rostralmiddlefrontal               ctx-lh-precentral    0.591476
        ctx-lh-superiortemporal      Left-Cerebral-White-Matter    0.591295
     ctx-rh-medialorbitofrontal     ctx-lh-rostralmiddlefrontal    0.591221
           ctx-lh-supramarginal                 ctx-lh-fusiform    0.591072
               ctx-rh-precuneus                  Left-VentralDC    0.591031
               ctx-rh-precuneus                   ctx-lh-insula    0.590688
        ctx-rh-inferiortemporal                   ctx-lh-insula    0.590515
                  ctx-lh-insula           ctx-lh-middletemporal    0.590512
          ctx-rh-middletemporal                   ctx-lh-insula    0.590218
        ctx-lh-superiortemporal  ctx-lh-caudalanteriorcingulate    0.590169
               ctx-rh-precuneus  ctx-lh-caudalanteriorcingulate    0.590082
         ctx-rh-superiorfrontal         ctx-rh-inferiorparietal    0.589877
        ctx-rh-inferiortemporal          ctx-lh-superiorfrontal    0.589782
        ctx-lh-superiortemporal                Left-Hippocampus    0.589184
                  ctx-lh-insula       ctx-lh-posteriorcingulate    0.589142
                  ctx-lh-insula         ctx-lh-isthmuscingulate    0.588778
        ctx-rh-inferiorparietal      ctx-lh-medialorbitofrontal    0.588133
    ctx-lh-rostralmiddlefrontal      ctx-lh-caudalmiddlefrontal    0.588047
        ctx-rh-lateraloccipital                  Right-Thalamus    0.587983
                  ctx-rh-insula         ctx-lh-inferiortemporal    0.587710
     ctx-rh-medialorbitofrontal       ctx-lh-posteriorcingulate    0.587645
ctx-lh-rostralanteriorcingulate           ctx-lh-middletemporal    0.587492
             ctx-lh-paracentral  ctx-lh-caudalanteriorcingulate    0.587437
              ctx-lh-precentral           ctx-lh-middletemporal    0.587252
        ctx-rh-superiortemporal                   Left-Thalamus    0.586784
      ctx-rh-posteriorcingulate               ctx-lh-precentral    0.586656
